"","X","country","iso3c","date","confirmed","deaths","recovered","new.d","new.c","new.r","population","death_rate","recovery_rate","infection_rate","continent"
"1513",1513,"Albania","ALB",2020-01-22,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1514",1514,"Albania","ALB",2020-01-23,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1515",1515,"Albania","ALB",2020-01-24,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1516",1516,"Albania","ALB",2020-01-25,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1517",1517,"Albania","ALB",2020-01-26,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1518",1518,"Albania","ALB",2020-01-27,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1519",1519,"Albania","ALB",2020-01-28,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1520",1520,"Albania","ALB",2020-01-29,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1521",1521,"Albania","ALB",2020-01-30,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1522",1522,"Albania","ALB",2020-01-31,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1523",1523,"Albania","ALB",2020-02-01,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1524",1524,"Albania","ALB",2020-02-02,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1525",1525,"Albania","ALB",2020-02-03,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1526",1526,"Albania","ALB",2020-02-04,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1527",1527,"Albania","ALB",2020-02-05,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1528",1528,"Albania","ALB",2020-02-06,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1529",1529,"Albania","ALB",2020-02-07,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1530",1530,"Albania","ALB",2020-02-08,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1531",1531,"Albania","ALB",2020-02-09,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1532",1532,"Albania","ALB",2020-02-10,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1533",1533,"Albania","ALB",2020-02-11,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1534",1534,"Albania","ALB",2020-02-12,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1535",1535,"Albania","ALB",2020-02-13,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1536",1536,"Albania","ALB",2020-02-14,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1537",1537,"Albania","ALB",2020-02-15,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1538",1538,"Albania","ALB",2020-02-16,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1539",1539,"Albania","ALB",2020-02-17,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1540",1540,"Albania","ALB",2020-02-18,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1541",1541,"Albania","ALB",2020-02-19,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1542",1542,"Albania","ALB",2020-02-20,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1543",1543,"Albania","ALB",2020-02-21,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1544",1544,"Albania","ALB",2020-02-22,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1545",1545,"Albania","ALB",2020-02-23,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1546",1546,"Albania","ALB",2020-02-24,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1547",1547,"Albania","ALB",2020-02-25,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1548",1548,"Albania","ALB",2020-02-26,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1549",1549,"Albania","ALB",2020-02-27,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1550",1550,"Albania","ALB",2020-02-28,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1551",1551,"Albania","ALB",2020-02-29,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1552",1552,"Albania","ALB",2020-03-01,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1553",1553,"Albania","ALB",2020-03-02,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1554",1554,"Albania","ALB",2020-03-03,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1555",1555,"Albania","ALB",2020-03-04,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1556",1556,"Albania","ALB",2020-03-05,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1557",1557,"Albania","ALB",2020-03-06,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1558",1558,"Albania","ALB",2020-03-07,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1559",1559,"Albania","ALB",2020-03-08,0,0,0,0,0,0,2877800,0,0,0,"EU"
"1560",1560,"Albania","ALB",2020-03-09,2,0,0,0,2,0,2877800,0,0,0.0694975328375843,"EU"
"1561",1561,"Albania","ALB",2020-03-10,10,0,0,0,8,0,2877800,0,0,0.277990131350337,"EU"
"1562",1562,"Albania","ALB",2020-03-11,12,1,0,1,2,0,2877800,0.0347487664187921,0,0.0694975328375843,"EU"
"1563",1563,"Albania","ALB",2020-03-12,23,1,0,0,11,0,2877800,0,0,0.382236430606713,"EU"
"1564",1564,"Albania","ALB",2020-03-13,33,1,0,0,10,0,2877800,0,0,0.347487664187921,"EU"
"1565",1565,"Albania","ALB",2020-03-14,38,1,0,0,5,0,2877800,0,0,0.173743832093961,"EU"
"1566",1566,"Albania","ALB",2020-03-15,42,1,0,0,4,0,2877800,0,0,0.138995065675169,"EU"
"1567",1567,"Albania","ALB",2020-03-16,51,1,0,0,9,0,2877800,0,0,0.312738897769129,"EU"
"1568",1568,"Albania","ALB",2020-03-17,55,1,0,0,4,0,2877800,0,0,0.138995065675169,"EU"
"1569",1569,"Albania","ALB",2020-03-18,59,2,0,1,4,0,2877800,0.0347487664187921,0,0.138995065675169,"EU"
"1570",1570,"Albania","ALB",2020-03-19,64,2,0,0,5,0,2877800,0,0,0.173743832093961,"EU"
"1571",1571,"Albania","ALB",2020-03-20,70,2,0,0,6,0,2877800,0,0,0.208492598512753,"EU"
"1572",1572,"Albania","ALB",2020-03-21,76,2,2,0,6,2,2877800,0,0.0694975328375843,0.208492598512753,"EU"
"1573",1573,"Albania","ALB",2020-03-22,89,2,2,0,13,0,2877800,0,0,0.451733963444298,"EU"
"1574",1574,"Albania","ALB",2020-03-23,104,4,2,2,15,0,2877800,0.0694975328375843,0,0.521231496281882,"EU"
"1575",1575,"Albania","ALB",2020-03-24,123,5,10,1,19,8,2877800,0.0347487664187921,0.277990131350337,0.660226561957051,"EU"
"1576",1576,"Albania","ALB",2020-03-25,146,5,17,0,23,7,2877800,0,0.243241364931545,0.799221627632219,"EU"
"1577",1577,"Albania","ALB",2020-03-26,174,6,17,1,28,0,2877800,0.0347487664187921,0,0.97296545972618,"EU"
"1578",1578,"Albania","ALB",2020-03-27,186,8,31,2,12,14,2877800,0.0694975328375843,0.48648272986309,0.416985197025506,"EU"
"1579",1579,"Albania","ALB",2020-03-28,197,10,31,2,11,0,2877800,0.0694975328375843,0,0.382236430606713,"EU"
"1580",1580,"Albania","ALB",2020-03-29,212,10,33,0,15,2,2877800,0,0.0694975328375843,0.521231496281882,"EU"
"1581",1581,"Albania","ALB",2020-03-30,223,11,44,1,11,11,2877800,0.0347487664187921,0.382236430606713,0.382236430606713,"EU"
"1582",1582,"Albania","ALB",2020-03-31,243,15,52,4,20,8,2877800,0.138995065675169,0.277990131350337,0.694975328375843,"EU"
"1583",1583,"Albania","ALB",2020-04-01,259,15,67,0,16,15,2877800,0,0.521231496281882,0.555980262700674,"EU"
"1584",1584,"Albania","ALB",2020-04-02,277,16,76,1,18,9,2877800,0.0347487664187921,0.312738897769129,0.625477795538258,"EU"
"1585",1585,"Albania","ALB",2020-04-03,304,17,89,1,27,13,2877800,0.0347487664187921,0.451733963444298,0.938216693307388,"EU"
"1586",1586,"Albania","ALB",2020-04-04,333,20,99,3,29,10,2877800,0.104246299256376,0.347487664187921,1.00771422614497,"EU"
"1587",1587,"Albania","ALB",2020-04-05,361,20,104,0,28,5,2877800,0,0.173743832093961,0.97296545972618,"EU"
"1588",1588,"Albania","ALB",2020-04-06,377,21,116,1,16,12,2877800,0.0347487664187921,0.416985197025506,0.555980262700674,"EU"
"1589",1589,"Albania","ALB",2020-04-07,383,22,131,1,6,15,2877800,0.0347487664187921,0.521231496281882,0.208492598512753,"EU"
"1590",1590,"Albania","ALB",2020-04-08,400,22,154,0,17,23,2877800,0,0.799221627632219,0.590729029119466,"EU"
"1591",1591,"Albania","ALB",2020-04-09,409,23,165,1,9,11,2877800,0.0347487664187921,0.382236430606713,0.312738897769129,"EU"
"1592",1592,"Albania","ALB",2020-04-10,416,23,182,0,7,17,2877800,0,0.590729029119466,0.243241364931545,"EU"
"1593",1593,"Albania","ALB",2020-04-11,433,23,197,0,17,15,2877800,0,0.521231496281882,0.590729029119466,"EU"
"1594",1594,"Albania","ALB",2020-04-12,446,23,217,0,13,20,2877800,0,0.694975328375843,0.451733963444298,"EU"
"1595",1595,"Albania","ALB",2020-04-13,467,23,232,0,21,15,2877800,0,0.521231496281882,0.729724094794635,"EU"
"1596",1596,"Albania","ALB",2020-04-14,475,24,248,1,8,16,2877800,0.0347487664187921,0.555980262700674,0.277990131350337,"EU"
"1597",1597,"Albania","ALB",2020-04-15,494,25,251,1,19,3,2877800,0.0347487664187921,0.104246299256376,0.660226561957051,"EU"
"1598",1598,"Albania","ALB",2020-04-16,518,26,277,1,24,26,2877800,0.0347487664187921,0.903467926888595,0.833970394051011,"EU"
"1599",1599,"Albania","ALB",2020-04-17,539,26,283,0,21,6,2877800,0,0.208492598512753,0.729724094794635,"EU"
"1600",1600,"Albania","ALB",2020-04-18,548,26,302,0,9,19,2877800,0,0.660226561957051,0.312738897769129,"EU"
"1601",1601,"Albania","ALB",2020-04-19,562,26,314,0,14,12,2877800,0,0.416985197025506,0.48648272986309,"EU"
"1602",1602,"Albania","ALB",2020-04-20,584,26,327,0,22,13,2877800,0,0.451733963444298,0.764472861213427,"EU"
"1603",1603,"Albania","ALB",2020-04-21,609,26,345,0,25,18,2877800,0,0.625477795538258,0.868719160469803,"EU"
"1604",1604,"Albania","ALB",2020-04-22,634,27,356,1,25,11,2877800,0.0347487664187921,0.382236430606713,0.868719160469803,"EU"
"1605",1605,"Albania","ALB",2020-04-23,663,27,385,0,29,29,2877800,0,1.00771422614497,1.00771422614497,"EU"
"1606",1606,"Albania","ALB",2020-04-24,678,27,394,0,15,9,2877800,0,0.312738897769129,0.521231496281882,"EU"
"1607",1607,"Albania","ALB",2020-04-25,712,27,403,0,34,9,2877800,0,0.312738897769129,1.18145805823893,"EU"
"1608",1608,"Albania","ALB",2020-04-26,726,28,410,1,14,7,2877800,0.0347487664187921,0.243241364931545,0.48648272986309,"EU"
"1609",1609,"Albania","ALB",2020-04-27,736,28,422,0,10,12,2877800,0,0.416985197025506,0.347487664187921,"EU"
"1610",1610,"Albania","ALB",2020-04-28,750,30,431,2,14,9,2877800,0.0694975328375843,0.312738897769129,0.48648272986309,"EU"
"1611",1611,"Albania","ALB",2020-04-29,766,30,455,0,16,24,2877800,0,0.833970394051011,0.555980262700674,"EU"
"1612",1612,"Albania","ALB",2020-04-30,773,31,470,1,7,15,2877800,0.0347487664187921,0.521231496281882,0.243241364931545,"EU"
"1613",1613,"Albania","ALB",2020-05-01,782,31,488,0,9,18,2877800,0,0.625477795538258,0.312738897769129,"EU"
"1614",1614,"Albania","ALB",2020-05-02,789,31,519,0,7,31,2877800,0,1.07721175898256,0.243241364931545,"EU"
"1615",1615,"Albania","ALB",2020-05-03,795,31,531,0,6,12,2877800,0,0.416985197025506,0.208492598512753,"EU"
"1616",1616,"Albania","ALB",2020-05-04,803,31,543,0,8,12,2877800,0,0.416985197025506,0.277990131350337,"EU"
"1617",1617,"Albania","ALB",2020-05-05,820,31,570,0,17,27,2877800,0,0.938216693307388,0.590729029119466,"EU"
"1618",1618,"Albania","ALB",2020-05-06,832,31,595,0,12,25,2877800,0,0.868719160469803,0.416985197025506,"EU"
"1619",1619,"Albania","ALB",2020-05-07,842,31,605,0,10,10,2877800,0,0.347487664187921,0.347487664187921,"EU"
"1620",1620,"Albania","ALB",2020-05-08,850,31,620,0,8,15,2877800,0,0.521231496281882,0.277990131350337,"EU"
"1621",1621,"Albania","ALB",2020-05-09,856,31,627,0,6,7,2877800,0,0.243241364931545,0.208492598512753,"EU"
"1622",1622,"Albania","ALB",2020-05-10,868,31,650,0,12,23,2877800,0,0.799221627632219,0.416985197025506,"EU"
"1623",1623,"Albania","ALB",2020-05-11,872,31,654,0,4,4,2877800,0,0.138995065675169,0.138995065675169,"EU"
"1624",1624,"Albania","ALB",2020-05-12,876,31,682,0,4,28,2877800,0,0.97296545972618,0.138995065675169,"EU"
"1625",1625,"Albania","ALB",2020-05-13,880,31,688,0,4,6,2877800,0,0.208492598512753,0.138995065675169,"EU"
"1626",1626,"Albania","ALB",2020-05-14,898,31,694,0,18,6,2877800,0,0.208492598512753,0.625477795538258,"EU"
"1627",1627,"Albania","ALB",2020-05-15,916,31,705,0,18,11,2877800,0,0.382236430606713,0.625477795538258,"EU"
"1628",1628,"Albania","ALB",2020-05-16,933,31,714,0,17,9,2877800,0,0.312738897769129,0.590729029119466,"EU"
"1629",1629,"Albania","ALB",2020-05-17,946,31,715,0,13,1,2877800,0,0.0347487664187921,0.451733963444298,"EU"
"1630",1630,"Albania","ALB",2020-05-18,948,31,727,0,2,12,2877800,0,0.416985197025506,0.0694975328375843,"EU"
"1631",1631,"Albania","ALB",2020-05-19,949,31,742,0,1,15,2877800,0,0.521231496281882,0.0347487664187921,"EU"
"1632",1632,"Albania","ALB",2020-05-20,964,31,758,0,15,16,2877800,0,0.555980262700674,0.521231496281882,"EU"
"1633",1633,"Albania","ALB",2020-05-21,969,31,771,0,5,13,2877800,0,0.451733963444298,0.173743832093961,"EU"
"1634",1634,"Albania","ALB",2020-05-22,981,31,777,0,12,6,2877800,0,0.208492598512753,0.416985197025506,"EU"
"1635",1635,"Albania","ALB",2020-05-23,989,31,783,0,8,6,2877800,0,0.208492598512753,0.277990131350337,"EU"
"1636",1636,"Albania","ALB",2020-05-24,998,32,789,1,9,6,2877800,0.0347487664187921,0.208492598512753,0.312738897769129,"EU"
"1637",1637,"Albania","ALB",2020-05-25,1004,32,795,0,6,6,2877800,0,0.208492598512753,0.208492598512753,"EU"
"1638",1638,"Albania","ALB",2020-05-26,1029,33,803,1,25,8,2877800,0.0347487664187921,0.277990131350337,0.868719160469803,"EU"
"1639",1639,"Albania","ALB",2020-05-27,1050,33,812,0,21,9,2877800,0,0.312738897769129,0.729724094794635,"EU"
"1640",1640,"Albania","ALB",2020-05-28,1076,33,823,0,26,11,2877800,0,0.382236430606713,0.903467926888595,"EU"
"1641",1641,"Albania","ALB",2020-05-29,1099,33,851,0,23,28,2877800,0,0.97296545972618,0.799221627632219,"EU"
